Date,Open,High,Low,Close
29-Nov-13,1808.69,1813.55,1803.98,1805.81
02-Dec-13,1806.55,1810.02,1798.6,1800.9
03-Dec-13,1800.1,1800.1,1787.85,1795.15
04-Dec-13,1793.15,1799.8,1779.09,1792.81
05-Dec-13,1792.82,1792.82,1783.38,1785.03
06-Dec-13,1788.36,1806.04,1788.36,1805.09
09-Dec-13,1806.21,1811.52,1806.21,1808.37
10-Dec-13,1807.6,1808.52,1801.75,1802.62
11-Dec-13,1802.76,1802.97,1780.09,1782.22
12-Dec-13,1781.71,1782.99,1772.28,1775.5
13-Dec-13,1777.98,1780.92,1772.45,1775.32
16-Dec-13,1777.48,1792.22,1777.48,1786.54
17-Dec-13,1786.47,1786.77,1777.05,1781
18-Dec-13,1781.46,1811.08,1767.99,1810.65
19-Dec-13,1809,1810.88,1801.35,1809.6
20-Dec-13,1810.39,1823.75,1810.25,1818.32
23-Dec-13,1822.92,1829.75,1822.92,1827.99
24-Dec-13,1828.02,1833.32,1828.02,1833.32
26-Dec-13,1834.96,1842.84,1834.96,1842.02
27-Dec-13,1842.97,1844.89,1839.81,1841.4
30-Dec-13,1841.47,1842.47,1838.77,1841.07
31-Dec-13,1842.61,1849.44,1842.41,1848.36
02-Jan-14,1845.86,1845.86,1827.74,1831.98
03-Jan-14,1833.21,1838.24,1829.13,1831.37
06-Jan-14,1832.31,1837.16,1823.73,1826.77
07-Jan-14,1828.71,1840.1,1828.71,1837.88
08-Jan-14,1837.9,1840.02,1831.4,1837.49
09-Jan-14,1839,1843.23,1830.38,1838.13
10-Jan-14,1840.06,1843.15,1832.43,1842.37
13-Jan-14,1841.26,1843.45,1815.52,1819.2
14-Jan-14,1821.36,1839.26,1821.36,1838.88
15-Jan-14,1840.52,1850.84,1840.52,1848.38
16-Jan-14,1847.99,1847.99,1840.3,1845.89
17-Jan-14,1844.23,1846.04,1835.23,1838.7
21-Jan-14,1841.05,1849.31,1832.38,1843.8
22-Jan-14,1844.71,1846.87,1840.88,1844.86
23-Jan-14,1842.29,1842.29,1820.06,1828.46
24-Jan-14,1826.96,1826.96,1790.29,1790.29
27-Jan-14,1791.03,1795.98,1772.88,1781.56
28-Jan-14,1783,1793.87,1779.49,1792.5
29-Jan-14,1790.15,1790.15,1770.45,1774.2
30-Jan-14,1777.17,1798.77,1777.17,1794.19
31-Jan-14,1790.88,1793.88,1772.26,1782.59
03-Feb-14,1782.68,1784.83,1739.66,1741.89
04-Feb-14,1743.82,1758.73,1743.82,1755.2
05-Feb-14,1753.38,1755.79,1737.92,1751.64
06-Feb-14,1752.99,1774.06,1752.99,1773.43
07-Feb-14,1776.01,1798.03,1776.01,1797.02
10-Feb-14,1796.2,1799.94,1791.83,1799.84
11-Feb-14,1800.45,1823.54,1800.41,1819.75
12-Feb-14,1820.12,1826.55,1815.97,1819.26
13-Feb-14,1814.82,1830.25,1809.22,1829.83
14-Feb-14,1828.46,1841.65,1825.59,1838.63
18-Feb-14,1839.03,1842.87,1835.01,1840.76
19-Feb-14,1838.9,1847.5,1826.99,1828.75
20-Feb-14,1829.24,1842.79,1824.58,1839.78
21-Feb-14,1841.07,1846.13,1835.6,1836.25
24-Feb-14,1836.78,1858.71,1836.78,1847.61
25-Feb-14,1847.66,1852.91,1840.19,1845.12
26-Feb-14,1845.79,1852.65,1840.66,1845.16
27-Feb-14,1844.9,1854.53,1841.13,1854.29
28-Feb-14,1855.12,1867.92,1847.67,1859.45
03-Mar-14,1857.68,1857.68,1834.44,1845.73
04-Mar-14,1849.23,1876.23,1849.23,1873.91
05-Mar-14,1874.05,1876.53,1871.11,1873.81
06-Mar-14,1874.18,1881.94,1874.18,1877.03
07-Mar-14,1878.52,1883.57,1870.56,1878.04
10-Mar-14,1877.86,1877.87,1867.04,1877.17
11-Mar-14,1878.26,1882.35,1863.88,1867.63
12-Mar-14,1866.15,1868.38,1854.38,1868.2
13-Mar-14,1869.06,1874.4,1841.86,1846.34
14-Mar-14,1845.07,1852.44,1839.57,1841.13
17-Mar-14,1842.81,1862.3,1842.81,1858.83
18-Mar-14,1858.92,1873.76,1858.92,1872.25
19-Mar-14,1872.25,1874.14,1850.35,1860.77
20-Mar-14,1860.09,1873.49,1854.63,1872.01
21-Mar-14,1874.53,1883.97,1863.46,1866.52
